,Male,Female,White,Black Or African American,American Indian Or Alaskan Native,Asian,Native Hawaiian & Other Pacific Islander,Other Race,Two Or More Races,Husband Wife Family Households,Single Guardian,Singles,Singles With Roommate,Households Without Kids,Households With Kids,Worked Full-time With Earnings,Worked Part-time With Earnings,No Earnings,"< $25,000","$25,000-$44,999","$45,000-$59,999","$60,000-$99,999","$100,000-$149,999","$150,000-$199,999","$200,000+",Less Than High School Diploma,High School Graduate,Associate's Degree,Bachelor's Degree,Master's Degree,Professional School Degree,Doctorate Degree,Enrolled In Public School,Enrolled In Private School,Not Enrolled In School,April,August,December,February,January,July,June,March,May,November,October,September,day1,day10,day11,day12,day13,day14,day15,day16,day17,day18,day19,day2,day20,day21,day22,day23,day24,day25,day26,day27,day28,day29,day3,day30,day31,day4,day5,day6,day7,day8,day9,year
874,31372,7334,59679,13686,14,289,8,861,12153,7216,7501,5575,5047,10367,3988,23943,2556,16428,7548,4229,2649,6191,468,452,809,11177,19287,3383,2312,7743,922,131,20286,810,2004,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,2014
875,55983,17597,53153,31348,259,727,180,2303,6573,17088,2558,11990,6423,15525,3442,11348,5762,20037,7823,7983,1949,7119,5500,218,1001,25358,10842,1474,4065,7187,906,351,8197,451,782,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0,2015
876,53902,14365,30975,16630,550,2276,23,1082,13385,12323,5867,11947,1353,20965,1541,10541,3488,20392,8244,5646,3504,2373,1601,370,301,25379,14090,865,4685,1257,404,364,13256,790,3653,0,1,0,1,0,0,1,1,1,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,0,2016
877,28151,12946,67711,28244,432,1635,115,1229,12642,12352,3676,6926,4158,14488,2395,10004,3183,23661,6204,3060,3737,1933,3816,452,715,26547,26479,2339,3207,299,316,348,14255,588,2371,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,2015
878,33887,9973,61933,24142,554,353,184,5297,1942,16303,6790,8406,2871,20721,1226,26505,6475,36186,3610,8015,3134,1390,2372,756,159,27053,27342,1938,1784,6857,303,385,10679,312,2850,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,1,1,0,2016
879,38664,12044,48549,31872,567,2462,139,3252,1279,7656,8803,6140,3234,21225,2627,14995,6248,25533,5099,4864,586,3917,75,486,533,18281,31846,3848,3325,9050,638,249,9616,738,1037,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,1,0,1,2014
880,38670,12163,26189,17534,456,190,21,3356,3072,14641,7234,11370,4664,16247,3358,33114,2717,39201,6101,8181,1931,5325,2262,549,546,10511,28882,913,2375,8865,935,416,4818,248,2748,1,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,1,0,1,2018
881,44822,9776,50984,35826,232,1976,147,556,6866,17287,7590,7647,2668,17135,2150,24704,7241,28128,4568,2926,4047,4781,2916,276,395,25133,25618,4017,1895,6002,362,437,5246,598,2117,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,1,1,0,0,1,0,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,2014
882,53900,10045,67627,33613,111,1148,102,1754,2493,8353,3718,7819,2481,14838,1618,30915,2995,33007,6876,3170,1730,4134,195,346,907,20124,24488,3655,4439,763,416,237,20831,766,3708,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,2016
883,31724,7740,42286,17113,223,2316,29,3749,10989,8963,6211,11160,2004,9409,4109,21638,3088,28607,3577,3999,1395,685,4477,241,898,26623,20361,2462,2812,4247,987,284,17652,232,2606,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,2016
884,26229,11527,42163,27310,588,1208,28,5297,7442,16506,3089,10521,2377,23010,1639,26690,3067,19225,6773,6658,2894,1735,2041,777,356,23405,26856,3313,1983,1858,362,334,11744,362,1861,1,1,0,1,0,0,0,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0,1,2016
885,41089,13396,64942,7291,108,441,46,2694,7109,17599,6557,9763,4176,17935,1320,21306,2563,17554,8757,4539,3054,1833,2199,754,241,11128,32255,1276,1325,1106,808,469,17793,616,2236,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,1,0,1,0,1,2016
886,22486,16077,63209,30003,603,117,63,3840,9887,5284,6795,6882,2702,11424,4227,25202,6263,14032,8554,5487,1928,6076,3703,217,388,15981,21739,3125,4597,5054,211,327,14983,813,605,1,0,1,1,1,0,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0,0,1,2014
887,19461,7036,66617,28154,690,1560,63,226,10063,6963,2840,12513,4412,18894,2834,19911,4226,8300,8872,6932,3262,3216,1253,252,983,3709,23411,1900,2135,2662,489,175,4253,464,1424,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,2018
888,58178,14900,43583,16818,29,153,35,269,6120,11168,8533,6077,3700,9370,1962,25827,3334,12056,5395,2915,2358,6970,818,238,38,12916,9219,4150,2898,3563,833,218,5261,758,3437,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,2016
889,14754,8259,34984,29277,3,2119,24,4054,9242,16064,2523,4472,6330,14876,1843,17462,5590,10300,4215,8458,1740,2071,1232,446,285,14694,16376,1936,1640,5303,77,192,11684,321,2814,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,1,2014
890,36740,6184,38309,20762,430,1966,124,3413,7291,14658,2664,8843,2228,15695,1479,23639,4734,39073,6611,6857,2536,5117,2418,259,533,6420,9353,2951,2319,4675,405,108,5655,221,1940,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,1,0,1,2018
891,14041,11840,26937,13587,254,1312,178,89,10929,4938,5068,12371,2455,12889,1071,17121,4009,15758,5749,4259,3396,860,2787,628,110,14589,10400,4914,2673,4408,118,243,15752,418,759,0,1,0,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0,1,0,0,2015
892,56190,11891,58433,15041,521,1287,162,2504,14173,7140,4282,12468,2139,11037,3810,33362,5309,34601,4938,3741,2700,4801,3410,371,651,14159,26651,1928,3967,4098,563,349,11285,825,1880,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,0,2015
893,32485,11642,43793,27919,276,871,66,3274,9886,6836,6010,8676,6266,18486,1260,28855,2882,35535,3902,5198,3076,2622,1719,793,653,4764,16880,1405,3930,229,353,282,13796,483,1308,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,1,1,2014
894,21580,17977,40149,13154,17,117,22,2211,11468,9162,3068,10332,1793,18713,3607,33706,7865,21425,6937,6056,3660,2773,4336,485,456,24252,9321,3068,2593,7578,80,175,6778,321,3174,0,1,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,2015
895,19757,9902,41799,24941,87,2004,117,92,1667,12278,4730,10981,2812,17230,1199,17929,4784,30492,8967,3946,23,1801,4327,681,1009,7551,10960,2609,2823,331,349,84,17129,750,2997,1,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,1,1,0,2018
896,45688,10471,41660,20789,228,2299,42,713,10461,14021,2740,4768,5712,17612,4019,31800,7699,38210,4012,6830,1189,4830,2377,624,858,24981,25404,1138,3539,4225,505,422,15243,561,654,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,1,1,0,1,0,0,1,2014
897,20519,8599,62864,11922,46,1514,23,89,8381,14945,5726,10621,4838,11149,2551,22374,5646,38473,7419,5315,1969,6663,4238,236,275,4782,13664,2095,1437,8078,704,220,19765,721,3112,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,2016
898,43243,8835,56575,6907,604,1790,125,4615,10846,11564,8655,11079,2752,19853,3991,23171,7475,33159,6867,7909,1879,3107,5430,236,265,14604,32556,4337,1323,3164,444,123,15380,453,768,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,2018
899,34741,13580,57609,20503,306,427,74,3998,9802,5888,3132,5162,1745,8469,2298,25754,6000,11632,8982,4899,2719,6011,982,515,501,16796,31455,454,3407,2398,374,406,21482,532,1474,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0,1,0,1,2015
900,32129,11632,41173,27707,726,1077,36,190,14289,14524,5774,11945,1360,22759,1601,12261,3345,16904,8311,5928,3188,3066,440,143,620,23341,22091,561,4131,7115,399,372,17875,206,2889,1,0,0,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,1,1,2015
901,30075,7373,26894,10774,566,1959,61,3188,3570,9683,6051,8234,2752,15163,3743,16578,7403,18840,5761,5927,945,2124,3718,169,295,13687,13358,4004,1215,1211,89,168,21497,228,3649,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,2018
902,32824,10908,32403,19516,457,1855,37,1198,5525,7327,9381,11641,3772,24285,2041,10787,5427,15792,3624,6073,4237,4096,1163,582,873,20466,22469,2849,2371,2747,470,99,8476,156,2280,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,2014
903,44112,13009,56538,24420,359,619,99,1370,9296,4447,3526,10822,4696,23582,2209,16445,3417,16372,4298,7139,3607,6599,241,168,641,22947,27048,678,2967,6606,901,107,20347,569,1209,0,1,1,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0,0,2016
904,56717,13606,57528,18937,62,2358,83,5240,8917,7992,5512,7878,2163,8999,2250,12130,5546,39796,5134,6768,3032,5033,2883,710,147,25239,20685,3849,1397,7699,652,320,19855,378,1374,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,2015
905,36823,15338,23882,8095,312,1777,11,776,5758,17164,7009,9218,1711,20210,1308,33473,4937,27592,4882,4068,899,1945,4110,300,42,7692,15775,3682,2535,5010,756,85,20984,210,3649,1,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,0,1,0,2016
906,16264,17506,52233,22568,312,145,162,1641,5457,6554,8135,12274,1201,23682,2066,32896,3937,24149,6618,4966,2041,4002,4793,296,49,6135,16032,4105,3549,6471,505,344,19834,318,740,1,1,0,0,0,1,1,0,0,1,0,1,0,1,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,2018
907,34087,9573,59155,8517,98,1975,45,646,8063,15262,9316,7670,5484,12633,3794,12949,5472,11981,4699,7106,3728,6420,1810,466,776,9602,23855,354,3962,9092,338,497,8971,314,1243,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,2015
908,48857,6886,49347,23168,445,406,44,1333,8983,5861,6518,9577,5104,21080,4406,15247,4047,37835,3707,2359,2522,3257,5347,755,710,11640,16909,4573,4497,5747,177,226,15935,405,2093,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,2014
909,49521,16049,30144,31969,167,1585,24,2642,1576,5226,7806,5025,4670,16476,2610,13005,3152,35510,8244,3417,3406,855,701,660,762,24181,21350,3893,1661,3851,965,390,6816,464,1371,1,0,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,2018
910,55048,8044,56424,14337,60,1903,66,3795,11668,7889,8108,9915,3515,17249,2334,28009,3926,20978,3854,8631,4058,7221,4614,198,366,20396,30726,2558,1556,8675,923,162,5317,429,2668,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,2018
911,21954,12354,24735,31615,260,1210,100,3390,11953,4976,6568,5971,2885,10542,1560,14027,6321,27099,8008,4592,2460,1641,3017,420,756,27542,27828,1768,3198,1655,939,366,17651,554,2920,0,1,1,1,0,0,0,1,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,1,0,1,0,2015
912,32974,8657,61663,7099,490,2108,8,1322,1440,13628,8497,7190,3319,13017,4118,26197,3727,16583,8300,5091,1510,1166,3846,167,250,20871,8868,3404,2974,6356,98,168,12240,345,2614,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,2018
913,27337,12995,21659,9550,60,1794,84,2096,8747,7306,4284,5232,1513,21276,4192,19726,3981,33761,3460,6526,1653,1395,5167,356,727,15244,25094,3888,4002,5318,121,72,15851,437,3605,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1,0,1,1,1,0,0,0,0,1,1,2014
914,27293,9849,23697,20683,596,783,190,2205,8454,7995,4334,11078,1564,15007,4375,24586,3761,18543,6770,2666,2949,8109,3736,449,616,5150,26563,2810,2709,6337,350,453,14746,697,1629,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,1,2015
915,17628,11893,22030,16596,682,1113,150,198,9371,12127,5044,9890,5942,18314,1111,13993,5192,31941,5200,6637,1848,6005,4475,357,861,23225,16277,807,3655,2605,941,93,13530,811,1920,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,2014
916,44530,10970,18329,32829,494,1272,48,2493,8797,14812,6510,10662,1765,8745,4276,18834,5119,38962,4554,6054,1540,8448,985,182,421,18787,30563,4273,1409,8340,1012,426,17957,309,3148,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,1,0,1,1,2016
917,51594,13752,24159,15854,65,1108,131,1332,3766,5947,6743,8968,1848,14954,4278,14425,7004,36503,3915,2807,3102,2215,4806,556,251,8477,17133,4730,1865,7434,617,290,15523,148,587,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,2014
918,17471,12291,51524,25565,568,440,111,3362,7169,14425,3179,8415,3586,13461,1252,29416,6673,29487,7158,6165,2469,128,3896,616,939,12241,24219,2966,3142,4197,487,286,12238,575,2584,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,2016
919,39640,6210,32834,24621,661,385,69,1943,1443,5763,2588,6140,2850,18336,2897,19934,7215,34302,7495,8199,304,2562,152,596,71,15440,9683,3053,2973,8885,468,103,20553,215,1627,0,1,1,0,1,0,1,0,1,0,1,1,1,0,0,1,0,1,0,1,1,0,1,1,1,0,1,0,1,1,0,0,0,1,1,1,0,1,1,1,0,0,1,2018
920,45074,6940,48218,20633,527,1895,87,4569,7619,6451,7404,12330,5415,17486,2204,20386,5797,22296,4458,6701,1859,27,3,167,304,14080,12696,548,1697,578,102,296,6296,336,2705,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,2014
921,27320,16616,58354,29122,379,2429,45,579,4646,8762,8587,8587,3772,11921,1538,19768,7032,25145,4844,3033,3806,5880,2173,761,430,25996,13059,1663,2566,5100,446,288,14026,618,3679,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,0,0,2015
922,31567,11261,58031,18272,166,1763,39,1699,9509,4709,7605,10237,3263,14023,4179,12511,2792,10380,8097,5511,4139,1646,1194,655,661,15720,28403,101,3600,4999,454,231,9784,410,2074,0,1,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,2014
923,26722,16372,42743,18903,3,1580,39,3560,7824,16908,8720,11308,4691,11515,3314,34025,4364,8500,6881,2544,3826,1031,2032,323,640,11614,28335,598,1602,8550,429,424,13173,733,1825,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,1,2015
924,36923,17950,37136,31658,132,702,133,2258,5779,5911,7150,3951,5259,17045,3567,23570,6101,37805,8784,5247,1955,7037,2367,551,61,23323,22888,1869,2635,2608,294,488,19508,735,1628,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,2017
925,48093,13384,49109,13798,718,1150,166,4938,1595,16163,5350,10508,2161,8338,3491,9651,3395,13794,8657,4455,362,8296,2735,736,805,8346,28422,4200,3689,4246,641,372,19948,181,1263,1,1,1,0,0,1,1,1,0,0,0,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,0,1,1,1,0,0,1,0,1,1,0,1,2014
926,44605,10899,62212,36079,36,490,182,3907,3387,4907,7809,7736,5687,15300,1921,15667,5387,13362,6209,8335,760,8443,4199,176,311,9474,24514,2964,4058,3675,959,366,12346,371,1961,0,1,1,0,0,1,0,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,2018
927,37430,13408,19498,11189,503,500,186,1093,11502,9541,4567,9673,5916,19583,1876,28233,3879,20013,8827,6976,644,1510,2902,634,207,4501,10242,1956,1647,6430,990,407,8278,366,1157,1,0,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,0,1,1,0,0,0,2016
928,18520,14338,47415,35259,280,388,58,4268,8217,4746,9399,11421,1555,22782,3258,30477,5888,36506,4775,7691,1490,3378,3703,791,917,5861,20326,2983,1350,6588,79,314,15763,511,2683,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0,1,1,1,0,2015
929,41472,16772,64380,17525,384,634,33,977,9305,15974,4982,4110,2099,23649,3417,21733,3254,18998,4672,6949,2999,224,5127,306,647,6785,13923,827,1804,2330,310,252,13727,736,3259,0,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,2017
930,53355,13751,38951,30354,702,802,160,568,7217,11825,3960,10064,2846,12308,3096,20888,3744,28979,9005,3718,572,5597,4541,624,732,10150,21201,209,2486,2616,91,316,8776,314,3100,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0,1,2015
931,21516,16261,46132,26577,576,2038,125,4876,12881,14834,2231,7427,2785,11244,3879,19918,6527,24355,8569,6936,2479,6786,3343,390,661,14423,9085,3089,1658,4488,313,309,7786,597,3380,1,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,1,1,2015
932,24804,7552,68205,6787,2,1834,175,4737,7233,11373,3113,11290,2196,12228,2545,9753,5832,22456,6653,5140,445,48,2196,455,522,8792,28368,2628,1527,8646,753,96,10389,310,2418,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,2017
933,30991,17281,21045,29898,173,1867,180,63,1813,16976,8002,7981,2397,13315,3793,24239,7056,39772,8010,2731,2617,7575,5564,468,435,23010,25667,3627,3121,8716,180,485,8700,596,1762,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,2014
934,37328,5852,50452,10729,465,1387,28,4919,3220,4385,9349,7220,1486,19556,1451,22527,5121,34233,5969,3655,2690,7418,3964,161,969,6733,32261,3513,4019,76,949,493,13834,665,1632,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,1,0,2017
935,37110,5727,39113,27831,554,1015,31,4585,14045,6192,5511,7184,4236,15718,3103,25428,6774,19284,5272,7242,2920,3657,1700,471,400,8369,15020,3882,3059,5188,308,409,17174,308,1157,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,2015
936,50747,9326,42035,23650,338,2291,171,5151,2347,4769,9023,10233,4988,10004,2477,15354,6078,32339,8840,7053,2846,2134,3683,591,94,24757,13846,4413,2177,3376,264,347,15584,612,3639,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,2014
937,40691,6523,54049,15313,239,704,161,2457,4514,7249,7733,9125,3107,12216,2031,21912,5186,12430,8186,6208,3342,2075,4240,618,552,16356,28872,1143,3863,7432,367,412,6366,806,2030,1,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,2015
938,44517,17497,30261,18697,18,617,171,1297,5590,8705,2794,8615,4229,24679,3724,26773,5850,10824,6466,5869,3727,804,2900,286,80,10805,18325,392,4601,3481,891,319,21324,539,595,1,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,1,1,0,1,0,1,1,0,1,0,2018
939,30023,12278,38097,30811,2,596,10,1627,10589,15263,3339,5171,2899,13772,2594,32873,2804,28829,3493,7077,4191,2443,5120,476,847,6504,23355,2743,1190,1419,354,351,15398,537,1986,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,1,0,1,0,0,1,1,0,1,1,0,1,0,1,0,1,0,0,0,1,2015
940,38342,13917,25876,26937,647,2053,148,1772,9800,12880,8790,8013,3989,19199,3974,25418,4903,21424,7221,4977,239,2405,71,649,930,27363,22992,1622,4636,4904,787,395,5640,372,2931,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,1,1,1,0,2014
941,53389,10704,25801,14992,381,2440,197,2526,9489,14014,4005,12927,5490,15900,1280,30388,6573,38099,6631,2590,1038,4625,2364,413,541,16554,26042,3299,1839,9211,134,311,17781,167,2443,0,1,0,0,0,1,0,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,1,2014
942,23564,9832,48451,18378,74,1176,72,2935,9882,5510,6550,4269,1661,14126,2077,17803,7432,27924,5491,7634,911,6888,1245,609,554,17453,31911,4368,3803,8989,957,180,12784,480,781,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,2014
943,47945,16932,67838,8410,400,2396,132,4881,6866,4190,7417,6048,4173,17018,1321,11670,4715,39535,6484,6442,3364,5779,2504,375,268,9912,28443,4011,2136,4280,761,156,14546,805,2958,1,1,1,1,0,1,0,1,1,0,0,1,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2015
944,44968,7737,65899,33733,657,1758,47,2156,4114,17592,7657,11188,4802,19468,3586,35394,5271,34700,3499,3716,275,4353,1816,386,736,14919,18623,2358,2816,1722,658,256,11527,500,715,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1,0,1,1,2014
945,37146,7146,67997,23454,729,2070,114,44,7643,14140,7964,7717,6165,21036,3804,34389,6759,31813,8820,5148,3091,8403,16,608,177,13778,13634,2979,1368,305,165,147,5368,509,1379,0,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,1,1,1,2016
